community_area,zip_code
ROGERS PARK,60626
WEST RIDGE,60645
UPTOWN,60640
LINCOLN SQUARE,60625
NORTH CENTER,60618
LAKE VIEW,60657
LINCOLN PARK,60614
NEAR NORTH SIDE,60610
EDISON PARK,60631
NORWOOD PARK,60631
JEFFERSON PARK,60630
FOREST GLEN,60646
NORTH PARK,60659
ALBANY PARK,60625
PORTAGE PARK,60630
IRVING PARK,60641
DUNNING,60634
MONTCLARE,60707
BELMONT CRAGIN,60639
HERMOSA,60639
AVONDALE,60618
LOGAN SQUARE,60647
HUMBOLDT PARK,60651
WEST TOWN,60622
AUSTIN,60644
WEST GARFIELD PARK,60624
EAST GARFIELD PARK,60624
NEAR WEST SIDE,60607
NORTH LAWNDALE,60623
SOUTH LAWNDALE,60623
LOWER WEST SIDE,60608
LOOP,60605
NEAR SOUTH SIDE,60605
ARMOUR SQUARE,60616
DOUGLAS,60616
OAKLAND,60653
FULLER PARK,60609
GRAND BOULEVARD,60653
KENWOOD,60615
WASHINGTON PARK,60637
HYDE PARK,60637
WOODLAWN,60637
SOUTH SHORE,60649
CHATHAM,60619
AVALON PARK,60619
SOUTH CHICAGO,60617
BURNSIDE,60619
CALUMET HEIGHTS,60617
ROSELAND,60628
PULLMAN,60628
SOUTH DEERING,60617
EAST SIDE,60617
WEST PULLMAN,60628
RIVERDALE,60827
HEGEWISCH,60633
GARFIELD RIDGE,60638
ARCHER HEIGHTS,60632
BRIGHTON PARK,60632
MCKINLEY PARK,60608
BRIDGEPORT,60608
NEW CITY,60609
WEST ELSDON,60629
GAGE PARK,60632
CLEARING,60638
WEST LAWN,60629
CHICAGO LAWN,60629
WEST ENGLEWOOD,60636
ENGLEWOOD,60621
GREATER GRAND CROSSING,60619
ASHBURN,60652
AUBURN GRESHAM,60620
BEVERLY,60643
WASHINGTON HEIGHTS,60643
MOUNT GREENWOOD,60655
MORGAN PARK,60643
OHARE,60666
EDGEWATER,60660
